date,home_team,away_team,prob_draw,prob_home,prob_away,home_score,away_score,actual_result,odds_home,odds_draw,odds_away,status,result_source,odds_source,prediction_path
2026-06-11,Mexico,South Africa,0.2373199611902237,0.6098714470863342,0.1528087854385376,2,0,home,1.42,4.33,8.5,ok,martj42/international_results,fotmob:4667751:Bet365_UK CPM:https://www.fotmob.com/match/4667751,outputs/predictions/2026-06-11/2026-06-11_Mexico_South Africa/predictions.json
2026-06-11,South Korea,Czech Republic,0.2486681193113327,0.41847482323646545,0.33285704255104065,2,1,home,2.55,3.1,3.0,ok,martj42/international_results,fotmob:4667752:Bet365_UK CPM:https://www.fotmob.com/match/4667752,outputs/predictions/2026-06-11/2026-06-11_South Korea_Czech Republic/predictions.json
2026-06-12,Canada,Bosnia and Herzegovina,0.21531787514686584,0.6242932677268982,0.16038878262043,1,1,draw,1.8,3.5,4.75,ok,martj42/international_results,fotmob:4667757:Bet365_UK CPM:https://www.fotmob.com/match/4667757,outputs/predictions/2026-06-11/2026-06-12_Canada_Bosnia and Herzegovina/predictions.json
2026-06-12,United States,Paraguay,0.2658994197845459,0.40375322103500366,0.33034729957580566,4,1,home,2.0,3.1,4.0,ok,martj42/international_results,fotmob:4667771:Betfred_United Kingdom:https://www.fotmob.com/match/4667771,outputs/predictions/2026-06-11/2026-06-12_United States_Paraguay/predictions.json
2026-06-13,Australia,Turkey,0.24965955317020416,0.37933671474456787,0.3710038661956787,2,0,home,5.5,3.6,1.65,ok,martj42/international_results,fotmob:4667772:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667772,outputs/predictions/2026-06-11/2026-06-13_Australia_Turkey/predictions.json
2026-06-13,Brazil,Morocco,0.29163044691085815,0.42787104845046997,0.28049856424331665,1,1,draw,1.65,3.6,5.5,ok,martj42/international_results,fotmob:4667764:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667764,outputs/predictions/2026-06-11/2026-06-13_Brazil_Morocco/predictions.json
2026-06-13,Haiti,Scotland,0.2161135971546173,0.2152220606803894,0.5686643719673157,0,1,away,5.5,4.5,1.5,ok,martj42/international_results,fotmob:4667765:Sky Bet_UK:https://www.fotmob.com/match/4667765,outputs/predictions/2026-06-11/2026-06-13_Haiti_Scotland/predictions.json
2026-06-13,Qatar,Switzerland,0.11266235262155533,0.06391415745019913,0.8234232068061829,1,1,draw,15.0,7.5,1.17,ok,martj42/international_results,fotmob:4667758:Paddy Power_UK:https://www.fotmob.com/match/4667758,outputs/predictions/2026-06-11/2026-06-13_Qatar_Switzerland/predictions.json
2026-06-14,Germany,Curaçao,0.07474882900714874,0.887021005153656,0.03823022544384003,7,1,home,1.04,20.0,36.0,ok,martj42/international_results,fotmob:4667777:Betfred_United Kingdom:https://www.fotmob.com/match/4667777,outputs/predictions/2026-06-11/2026-06-14_Germany_Curaçao/predictions.json
2026-06-14,Ivory Coast,Ecuador,0.27805590629577637,0.22764155268669128,0.4943024218082428,1,0,home,3.3,2.88,2.4,ok,martj42/international_results,fotmob:4667778:Sky Bet_UK:https://www.fotmob.com/match/4667778,outputs/predictions/2026-06-11/2026-06-14_Ivory Coast_Ecuador/predictions.json
2026-06-14,Netherlands,Japan,0.24363261461257935,0.3698611259460449,0.38650622963905334,2,2,draw,2.0,3.5,3.75,ok,martj42/international_results,fotmob:4667783:Sky Bet_UK:https://www.fotmob.com/match/4667783,outputs/predictions/2026-06-11/2026-06-14_Netherlands_Japan/predictions.json
2026-06-14,Sweden,Tunisia,0.26036521792411804,0.44077831506729126,0.29885655641555786,5,1,home,1.85,3.4,4.33,ok,martj42/international_results,fotmob:4667784:Bet365_UK CPM:https://www.fotmob.com/match/4667784,outputs/predictions/2026-06-11/2026-06-14_Sweden_Tunisia/predictions.json
2026-06-15,Belgium,Egypt,0.2201140820980072,0.6157471537590027,0.16413870453834534,1,1,draw,1.47,4.1,6.5,ok,martj42/international_results,fotmob:4667790:Betfred_United Kingdom:https://www.fotmob.com/match/4667790,outputs/predictions/2026-06-11/2026-06-15_Belgium_Egypt/predictions.json
2026-06-15,Iran,New Zealand,0.25589561462402344,0.5049304366111755,0.23917384445667267,2,2,draw,1.85,3.4,4.5,ok,martj42/international_results,fotmob:4667791:Bet365_UK CPM:https://www.fotmob.com/match/4667791,outputs/predictions/2026-06-11/2026-06-15_Iran_New Zealand/predictions.json
2026-06-15,Saudi Arabia,Uruguay,0.24097314476966858,0.1457139402627945,0.6133130788803101,1,1,draw,7.5,4.2,1.44,ok,martj42/international_results,fotmob:4667799:Sky Bet_UK:https://www.fotmob.com/match/4667799,outputs/predictions/2026-06-11/2026-06-15_Saudi Arabia_Uruguay/predictions.json
2026-06-15,Spain,Cape Verde,0.08422309905290604,0.8825103640556335,0.033266644924879074,0,0,draw,1.06,13.0,26.0,ok,martj42/international_results,fotmob:4667798:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667798,outputs/predictions/2026-06-11/2026-06-15_Spain_Cape Verde/predictions.json
2026-06-16,Argentina,Algeria,0.21641971170902252,0.630587637424469,0.15299275517463684,3,0,home,1.5,3.9,6.5,ok,martj42/international_results,fotmob:4667812:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667812,outputs/predictions/2026-06-11/2026-06-16_Argentina_Algeria/predictions.json
2026-06-16,Austria,Jordan,0.22398336231708527,0.5784379839897156,0.19757865369319916,3,1,home,1.36,4.6,8.5,ok,martj42/international_results,fotmob:4667813:Betfred_United Kingdom:https://www.fotmob.com/match/4667813,outputs/predictions/2026-06-11/2026-06-16_Austria_Jordan/predictions.json
2026-06-16,France,Senegal,0.2706391513347626,0.46246692538261414,0.2668939232826233,3,1,home,1.44,4.33,7.0,ok,martj42/international_results,fotmob:4667804:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667804,outputs/predictions/2026-06-11/2026-06-16_France_Senegal/predictions.json
2026-06-16,Iraq,Norway,0.19984084367752075,0.12237480282783508,0.6777840852737427,1,4,away,12.0,7.5,1.2,ok,martj42/international_results,fotmob:4667805:Sky Bet_UK:https://www.fotmob.com/match/4667805,outputs/predictions/2026-06-11/2026-06-16_Iraq_Norway/predictions.json
2026-06-17,England,Croatia,0.24610508978366852,0.5395227670669556,0.21437224745750427,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-17_England_Croatia/predictions.json
2026-06-17,Ghana,Panama,0.2576129138469696,0.2927803695201874,0.4496064782142639,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-17_Ghana_Panama/predictions.json
2026-06-17,Portugal,DR Congo,0.1992872953414917,0.682386577129364,0.11832594126462936,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-17_Portugal_DR Congo/predictions.json
2026-06-17,Uzbekistan,Colombia,0.2109529674053192,0.12719941139221191,0.6618475914001465,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-17_Uzbekistan_Colombia/predictions.json
2026-06-18,Canada,Qatar,0.16256603598594666,0.7350852489471436,0.10234874486923218,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-18_Canada_Qatar/predictions.json
2026-06-18,Czech Republic,South Africa,0.2505819499492645,0.5089826583862305,0.24043549597263336,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-18_Czech Republic_South Africa/predictions.json
2026-06-18,Mexico,South Korea,0.2674887180328369,0.4463654160499573,0.28614598512649536,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-18_Mexico_South Korea/predictions.json
2026-06-18,Switzerland,Bosnia and Herzegovina,0.16512466967105865,0.7239986062049866,0.11087654531002045,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-18_Switzerland_Bosnia and Herzegovina/predictions.json
2026-06-19,Brazil,Haiti,0.11398879438638687,0.82512366771698,0.06088723614811897,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-19_Brazil_Haiti/predictions.json
2026-06-19,Scotland,Morocco,0.2634233236312866,0.20102235674858093,0.5355541110038757,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-19_Scotland_Morocco/predictions.json
2026-06-19,Turkey,Paraguay,0.25771597027778625,0.41079387068748474,0.331490159034729,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-19_Turkey_Paraguay/predictions.json
2026-06-19,United States,Australia,0.25712132453918457,0.36525604128837585,0.37762272357940674,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-19_United States_Australia/predictions.json
2026-06-20,Ecuador,Curaçao,0.1512913852930069,0.7752035856246948,0.07350501418113708,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-20_Ecuador_Curaçao/predictions.json
2026-06-20,Germany,Ivory Coast,0.19893226027488708,0.624966561794281,0.17610138654708862,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-20_Germany_Ivory Coast/predictions.json
2026-06-20,Netherlands,Sweden,0.18781116604804993,0.6309012770652771,0.18128758668899536,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-20_Netherlands_Sweden/predictions.json
2026-06-20,Tunisia,Japan,0.21670912206172943,0.1368456333875656,0.6464454531669617,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-20_Tunisia_Japan/predictions.json
2026-06-21,Belgium,Iran,0.24326111376285553,0.5047314763069153,0.2520076632499695,,,,,,,missing_result;missing_odds,,,outputs/predictions/2026-06-11/2026-06-21_Belgium_Iran/predictions.json
